Geo_FIPS	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_BTTR	Geo_BTBG	Geo_AREALAND	Geo_AREAWATR	SE_T001_001	SE_T002_001	SE_T002_002	SE_T002_003	SE_T003_001	SE_T003_002	SE_T003_003	PCT_SE_T003_002	PCT_SE_T003_003	SE_T007_001	SE_T007_002	SE_T007_003	SE_T007_004	SE_T007_005	SE_T007_006	SE_T007_007	SE_T007_008	SE_T007_009	SE_T007_010	SE_T007_011	SE_T007_012	SE_T007_013	PCT_SE_T007_002	PCT_SE_T007_003	PCT_SE_T007_004	PCT_SE_T007_005	PCT_SE_T007_006	PCT_SE_T007_007	PCT_SE_T007_008	PCT_SE_T007_009	PCT_SE_T007_010	PCT_SE_T007_011	PCT_SE_T007_012	PCT_SE_T007_013	SE_T021_001	SE_T036_001	SE_T036_002	SE_T036_003	PCT_SE_T036_002	PCT_SE_T036_003	SE_T083_001
"01001"	"Autauga County, Alabama"	"Autauga County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000013"	""	""	""	""	"01"	"001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01001"	""	""	"1539609015"	"25749942"	55049	55049	92.60549	594.446368091281	604.3885	594.4464	9.942108	98.36	1.64	55049	3172	3819	4239	2623	4730	6727	7588	8055	6401	4619	2417	659	5.76	6.94	7.7	4.76	8.59	12.22	13.78	14.63	11.63	8.39	4.39	1.2	2.62	26008	309	25699	1.19	98.81	26168
"01003"	"Baldwin County, Alabama"	"Baldwin County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000014"	""	""	""	""	"01"	"003"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01003"	""	""	"4117584019"	"1133130502"	199510	199510	125.4931	1589.80818752828	2027.312	1589.808	437.5042	78.42	21.58	199510	11432	12513	12574	7751	15294	22651	24710	27595	27652	22381	11127	3830	5.73	6.27	6.3	3.89	7.67	11.35	12.39	13.83	13.86	11.22	5.58	1.92	2.62	93872	232	93640	0.25	99.75	28069
"01005"	"Barbour County, Alabama"	"Barbour County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000015"	""	""	""	""	"01"	"005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01005"	""	""	"2291818680"	"50864677"	26614	26614	30.07652	884.876204831837	904.5151	884.8762	19.63896	97.83	2.17	26614	1472	1713	1589	961	2492	3653	3295	3662	3378	2661	1306	432	5.53	6.44	5.97	3.61	9.36	13.73	12.38	13.76	12.69	10	4.91	1.62	2.6	10316	0	10316	0	100	17249
"01007"	"Bibb County, Alabama"	"Bibb County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000016"	""	""	""	""	"01"	"007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01007"	""	""	"1612481559"	"9287974"	22572	22572	36.25543	622.582628182061	626.1688	622.5826	3.586107	99.43	0.57	22572	1150	1185	1507	914	2066	3119	3039	3480	2752	2049	1110	201	5.09	5.25	6.68	4.05	9.15	13.82	13.46	15.42	12.19	9.08	4.92	0.89	2.92	9002	5	8997	0.06	99.94	18988
"01009"	"Blount County, Alabama"	"Blount County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000017"	""	""	""	""	"01"	"009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01009"	""	""	"1670041875"	"15077458"	57704	57704	89.49037	644.806792927226	650.6282	644.8068	5.821439	99.11	0.89	57704	3512	3780	3913	2396	4631	6672	7346	8138	7395	6045	3077	799	6.09	6.55	6.78	4.15	8.03	11.56	12.73	14.1	12.82	10.48	5.33	1.38	2.77	22969	9	22960	0.04	99.96	21033
"01011"	"Bullock County, Alabama"	"Bullock County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000018"	""	""	""	""	"01"	"011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01011"	""	""	"1613059136"	"6055023"	10552	10552	16.94269	622.805616087797	625.1435	622.8056	2.337857	99.63	0.37	10552	631	668	599	376	945	1310	1564	1447	1415	1013	401	183	5.98	6.33	5.68	3.56	8.96	12.41	14.82	13.71	13.41	9.6	3.8	1.73	2.84	4812	0	4812	0	100	17909
"01013"	"Butler County, Alabama"	"Butler County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000019"	""	""	""	""	"01"	"013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01013"	""	""	"2011976232"	"2727475"	20280	20280	26.10615	776.828383760851	777.8815	776.8284	1.053084	99.86	0.14	20280	1208	1347	1340	838	1598	2440	2439	2557	2837	2012	1191	473	5.96	6.64	6.61	4.13	7.88	12.03	12.03	12.61	13.99	9.92	5.87	2.33	2.6	8677	18	8659	0.21	99.79	19011
"01015"	"Calhoun County, Alabama"	"Calhoun County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000020"	""	""	""	""	"01"	"015"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01015"	""	""	"1569245419"	"16568579"	115883	115883	191.2611	605.889077478351	612.2863	605.8891	6.397164	98.96	1.04	115883	6529	7450	7034	4628	11581	14765	14033	15523	15879	10817	5673	1971	5.63	6.43	6.07	3.99	9.99	12.74	12.11	13.4	13.7	9.33	4.9	1.7	2.51	53539	311	53228	0.58	99.42	22231
"01017"	"Chambers County, Alabama"	"Chambers County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000021"	""	""	""	""	"01"	"017"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01017"	""	""	"1545009121"	"17048126"	34018	34018	57.02634	596.531393967849	603.1137	596.5314	6.582318	98.91	1.09	34018	2049	1922	2010	1302	2881	3941	4078	4781	4799	3615	1692	948	6.02	5.65	5.91	3.83	8.47	11.59	11.99	14.05	14.11	10.63	4.97	2.79	2.42	15191	24	15167	0.16	99.84	21532
"01019"	"Cherokee County, Alabama"	"Cherokee County, Alabama"	"al"	"050"	"00"	"ACSSF"	"0000022"	""	""	""	""	"01"	"019"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"05000US01019"	""	""	"1434128031"	"119806782"	25897	25897	46.76913	553.719940015166	599.9776	553.7199	46.25766	92.29	7.71	25897	1267	1405	1671	983	1877	2468	3048	3808	4107	3294	1606	363	4.89	5.43	6.45	3.8	7.25	9.53	11.77	14.7	15.86	12.72	6.2	1.4	2.32	10827	0	10827	0	100	22544
